iter	Logloss
0	0.6333162716
1	0.5847757318
2	0.548183456
3	0.5248511023
4	0.5040693742
5	0.4911256951
6	0.4780002788
7	0.4668092292
8	0.4610451347
9	0.4534260405
10	0.4477272763
11	0.4431741607
12	0.4394482285
13	0.4357658499
14	0.4322384604
15	0.4298774502
16	0.4269968459
17	0.4252243498
18	0.4230032303
19	0.4219346241
20	0.4201936943
21	0.4189812724
22	0.4175388081
23	0.4165553222
24	0.4153499094
25	0.4143240328
26	0.4135136816
27	0.4128696419
28	0.4123686927
29	0.4113467111
30	0.4107101366
31	0.4101713769
32	0.4093835537
33	0.4088553019
34	0.4084788542
35	0.4078634942
36	0.4073372437
37	0.4068496935
38	0.4062599673
39	0.4058087484
40	0.4054407499
41	0.4049580806
42	0.4042575183
43	0.4039688948
44	0.4034955364
45	0.4033388411
46	0.4030232367
47	0.4027909749
48	0.4021792269
49	0.4017683139
50	0.4016157736
51	0.4014174131
52	0.4011745412
53	0.4009356394
54	0.4006472717
55	0.4004539095
56	0.400236168
57	0.3999642861
58	0.3998016542
59	0.3996160352
60	0.3993942837
61	0.3992229665
62	0.398990946
63	0.3988939373
64	0.398643224
65	0.3984958119
66	0.3982737735
67	0.3980987528
68	0.3979127155
69	0.3977285254
70	0.3974869195
71	0.3972344397
72	0.3970044232
73	0.3967048694
74	0.396440971
75	0.3962386357
76	0.3959849123
77	0.395819055
78	0.3956814656
79	0.3955184149
80	0.3953280854
81	0.3951679143
82	0.3949653004
83	0.3944249015
84	0.3942127989
85	0.3940074258
86	0.3938986167
87	0.3937882294
88	0.3935921147
89	0.3932886413
90	0.3931720502
91	0.392957492
92	0.3927461888
93	0.3925336555
94	0.3923625246
95	0.392180498
96	0.3920476722
97	0.3917874065
98	0.3915407733
99	0.3913420008
