iter	Passed	Remaining
0	3	304
1	5	290
2	9	305
3	12	304
4	15	302
5	19	302
6	22	300
7	25	296
8	28	289
9	32	289
10	34	282
11	38	281
12	41	277
13	44	274
14	47	271
15	51	268
16	54	265
17	57	263
18	60	258
19	64	256
20	67	252
21	70	249
22	73	246
23	76	242
24	79	239
25	83	236
26	86	233
27	88	228
28	91	224
29	94	221
30	97	217
31	100	214
32	104	211
33	107	208
34	110	205
35	114	203
36	117	199
37	120	195
38	123	192
39	126	189
40	129	186
41	132	182
42	135	180
43	139	176
44	142	173
45	144	170
46	147	166
47	150	162
48	153	159
49	156	156
50	159	153
51	162	149
52	165	146
53	168	143
54	170	139
55	173	136
56	176	133
57	179	130
58	182	126
59	185	123
60	188	120
61	190	116
62	193	113
63	196	110
64	199	107
65	202	104
66	205	101
67	209	98
68	212	95
69	215	92
70	218	89
71	221	86
72	224	83
73	227	79
74	230	76
75	233	73
76	236	70
77	239	67
78	242	64
79	245	61
80	248	58
81	251	55
82	254	52
83	257	49
84	259	45
85	263	42
86	265	39
87	268	36
88	271	33
89	274	30
90	277	27
91	280	24
92	283	21
93	286	18
94	289	15
95	292	12
96	295	9
97	298	6
98	301	3
99	304	0
