iter	Passed	Remaining
0	9	1944
1	22	2185
2	29	1928
3	35	1726
4	42	1640
5	48	1562
6	54	1502
7	61	1486
8	69	1474
9	76	1459
10	80	1387
11	84	1331
12	92	1334
13	100	1338
14	111	1379
15	119	1376
16	126	1364
17	135	1365
18	143	1367
19	150	1350
20	155	1326
21	163	1321
22	171	1317
23	178	1312
24	185	1297
25	194	1302
26	201	1293
27	209	1286
28	217	1279
29	224	1273
30	232	1266
31	239	1257
32	245	1242
33	251	1230
34	260	1230
35	268	1225
36	276	1216
37	285	1218
38	299	1237
39	306	1226
40	315	1221
41	321	1211
42	328	1198
43	336	1193
44	343	1182
45	350	1172
46	358	1166
47	367	1162
48	375	1156
49	382	1147
50	387	1132
51	395	1124
52	405	1123
53	412	1115
54	422	1114
55	429	1104
56	436	1096
57	444	1088
58	451	1080
59	459	1071
60	467	1066
61	474	1057
62	480	1045
63	489	1040
64	500	1039
65	508	1031
66	517	1026
67	524	1018
68	531	1009
69	538	1000
70	545	991
71	554	985
72	561	977
73	570	970
74	578	963
75	584	954
76	593	947
77	602	942
78	611	936
79	617	926
80	625	919
81	633	911
82	640	903
83	647	894
84	656	887
85	664	880
86	671	871
87	680	865
88	685	855
89	694	848
90	702	840
91	709	833
92	716	823
93	725	818
94	732	810
95	740	802
96	748	794
97	754	785
98	765	781
99	773	773
100	780	765
101	790	759
102	798	752
103	807	745
104	815	737
105	823	729
106	830	721
107	838	714
108	844	705
109	851	696
110	860	690
111	867	681
112	873	672
113	882	665
114	895	661
115	903	653
116	911	646
117	920	639
118	926	630
119	934	623
120	943	615
121	953	609
122	956	598
123	963	590
124	973	584
125	983	577
126	993	571
127	1003	564
128	1010	556
129	1018	548
130	1026	540
131	1033	532
132	1040	524
133	1049	516
134	1057	509
135	1064	500
136	1070	492
137	1078	484
138	1085	476
139	1093	468
140	1103	461
141	1109	453
142	1118	446
143	1124	437
144	1130	428
145	1139	421
146	1147	413
147	1156	406
148	1163	398
149	1172	390
150	1180	383
151	1188	375
152	1196	367
153	1203	359
154	1209	351
155	1216	343
156	1224	335
157	1232	327
158	1238	319
159	1245	311
160	1254	303
161	1260	295
162	1268	287
163	1283	281
164	1292	274
165	1301	266
166	1309	258
167	1317	250
168	1326	243
169	1333	235
170	1343	227
171	1349	219
172	1359	212
173	1365	204
174	1374	196
175	1382	188
176	1393	181
177	1400	173
178	1409	165
179	1415	157
180	1423	149
181	1431	141
182	1440	133
183	1448	125
184	1457	118
185	1465	110
186	1476	102
187	1483	94
188	1494	86
189	1502	79
190	1509	71
191	1515	63
192	1522	55
193	1529	47
194	1537	39
195	1544	31
196	1552	23
197	1559	15
198	1567	7
199	1574	0
